"_key",alert,"alert_time","job_id",owner,priority,"severity_id",status,ttl
549a7283fb634073d3547b11,"demo_alert1_splunk_errors",1419408001,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5efab7809fc8bc710_at_1419408000_2",demo1,critical,4,resolved,86400
549a7283fb634073d3547b12,"demo_alert2_splunk_warnings",1419408001,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5ad7b61a9b44b3088_at_1419408000_3",demo1,low,3,resolved,21600
549a7294fb634073d3547b13,"demo_alert3_rt_splunk_info",1419407840,"rt_scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5e64717840886b5a3_at_1419407805_0.89",demo2,low,1,"auto_previous_resolved",86400
549a73b1fb634073d3547b14,"demo_alert1_splunk_errors",1419408301,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5efab7809fc8bc710_at_1419408300_10",demo1,low,4,resolved,86400
549a73b1fb634073d3547b15,"demo_alert2_splunk_warnings",1419408301,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5ad7b61a9b44b3088_at_1419408300_11",demo2,low,3,resolved,21600
549a74dbfb634073d3547b16,"demo_alert1_splunk_errors",1419408601,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5efab7809fc8bc710_at_1419408600_14",demo1,critical,4,resolved,86400
549a74dbfb634073d3547b17,"demo_alert2_splunk_warnings",1419408601,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5ad7b61a9b44b3088_at_1419408600_15",unassigned,low,3,resolved,21600
549a74effb634073d3547b18,"demo_alert3_rt_splunk_info",1419407840,"rt_scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5e64717840886b5a3_at_1419407805_0.530",demo2,low,1,resolved,86400
549a7606fb634073d3547b19,"demo_alert2_splunk_warnings",1419408901,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5ad7b61a9b44b3088_at_1419408900_20",unassigned,medium,3,"auto_previous_resolved",21600
549a7606fb634073d3547b1a,"demo_alert1_splunk_errors",1419408901,"scheduler__admin_U0EtYWxlcnRfbWFuYWdlcl9kZW1v__RMD5efab7809fc8bc710_at_1419408900_19",demo2,critical,4,resolved,86400
